"","newCol","tsDataF.NO2"
"451","02/10/2021 13",26
"452","02/10/2021 14",29
"453","02/10/2021 15",27
"454","02/10/2021 16",26
"455","02/10/2021 17",23
"456","02/10/2021 18",20
"457","02/10/2021 19",20
"458","02/10/2021 20",19
"459","02/10/2021 21",20
"460","02/10/2021 22",16
"461","02/10/2021 23",12
"462","02/10/2021 24",12
"463","02/11/2021 01",19
"464","02/11/2021 02",30
"465","02/11/2021 03",30
"466","02/11/2021 04",30
"467","02/11/2021 05",32
"468","02/11/2021 06",33
"469","02/11/2021 07",31
"470","02/11/2021 08",33
"471","02/11/2021 09",38
"472","02/11/2021 10",31
"473","02/11/2021 11",26
"474","02/11/2021 12",22
"475","02/11/2021 13",25
"476","02/11/2021 14",20
"477","02/11/2021 15",14
"478","02/11/2021 16",15
"479","02/11/2021 17",16
"480","02/11/2021 18",17
"481","02/11/2021 19",19
"482","02/11/2021 20",21
"483","02/11/2021 21",23
"484","02/11/2021 22",19
"485","02/11/2021 23",21
"486","02/11/2021 24",24
"487","02/12/2021 01",15
"488","02/12/2021 02",15
"489","02/12/2021 03",13
"490","02/12/2021 04",12
"491","02/12/2021 05",14
"492","02/12/2021 06",25
"493","02/12/2021 07",27
"494","02/12/2021 08",35
"495","02/12/2021 09",29
"496","02/12/2021 10",16
"497","02/12/2021 11",24
"498","02/12/2021 12",22
"499","02/12/2021 13",26
"500","02/12/2021 14",20
"501","02/12/2021 15",17
"502","02/12/2021 16",17
"503","02/12/2021 17",23
"504","02/12/2021 18",27
"505","02/12/2021 19",30
"506","02/12/2021 20",31
"507","02/12/2021 21",28
"508","02/12/2021 22",25
"509","02/12/2021 23",27
"510","02/12/2021 24",25
"511","03/01/2021 01",45
"512","03/01/2021 02",40
"513","03/01/2021 03",44
"514","03/01/2021 04",46
"515","03/01/2021 05",44
"516","03/01/2021 06",42
"517","03/01/2021 07",44
"518","03/01/2021 08",44
"519","03/01/2021 09",47
"520","03/01/2021 10",45
"521","03/01/2021 11",29
"522","03/01/2021 12",24
"523","03/01/2021 13",20
"524","03/01/2021 14",18
"525","03/01/2021 15",13
"526","03/01/2021 16",7
"527","03/01/2021 17",7
"528","03/01/2021 18",9
"529","03/01/2021 19",16
"530","03/01/2021 20",22
"531","03/01/2021 21",16
"532","03/01/2021 22",32
"533","03/01/2021 23",39
"534","03/01/2021 24",32
"535","03/02/2021 01",24
"536","03/02/2021 02",18
"537","03/02/2021 03",33
"538","03/02/2021 04",31
"539","03/02/2021 05",32
"540","03/02/2021 06",39
"541","03/02/2021 07",36
"542","03/02/2021 08",37
"543","03/02/2021 09",46
"544","03/02/2021 10",51.5047978621496
"545","03/02/2021 11",51.5047978621496
"546","03/02/2021 12",46
"547","03/02/2021 13",29
"548","03/02/2021 14",33
"549","03/02/2021 15",23
"550","03/02/2021 16",16
"551","03/02/2021 17",15
"552","03/02/2021 18",24
"553","03/02/2021 19",38
"554","03/02/2021 20",45
"555","03/02/2021 21",35
"556","03/02/2021 22",34
"557","03/02/2021 23",32
"558","03/02/2021 24",39
"559","03/03/2021 04",36
"560","03/03/2021 05",33
"561","03/03/2021 06",31
"562","03/03/2021 07",38
"563","03/03/2021 08",39
"564","03/03/2021 09",45
"565","03/03/2021 10",44
"566","03/03/2021 11",34
"567","03/03/2021 12",35
"568","03/03/2021 13",20
"569","03/03/2021 14",16
"570","03/03/2021 15",17
"571","03/03/2021 16",15
"572","03/03/2021 17",16
"573","03/03/2021 18",23
"574","03/03/2021 19",42
"575","03/03/2021 20",34
"576","03/03/2021 21",22
"577","03/03/2021 22",23
"578","03/03/2021 23",26
"579","03/03/2021 24",28
"580","03/04/2021 01",15
"581","03/04/2021 02",14
"582","03/04/2021 03",17
"583","03/04/2021 04",15
"584","03/04/2021 05",15
"585","03/04/2021 06",19
"586","03/04/2021 07",21
"587","03/04/2021 08",17
"588","03/04/2021 09",18
"589","03/04/2021 10",27
"590","03/04/2021 11",28
"591","03/04/2021 12",20
"592","03/04/2021 13",13
"593","03/04/2021 14",9
"594","03/04/2021 15",9
"595","03/04/2021 16",8
"596","03/04/2021 17",11
"597","03/04/2021 18",13
"598","03/04/2021 19",17
"599","03/04/2021 20",12
"600","03/04/2021 21",17
"601","03/04/2021 22",22
"602","03/04/2021 23",21
"603","03/04/2021 24",25
"604","03/05/2021 01",35
"605","03/05/2021 02",32
"606","03/05/2021 03",35
"607","03/05/2021 04",38
"608","03/05/2021 05",36
"609","03/05/2021 06",38
"610","03/05/2021 07",40
"611","03/05/2021 08",44
"612","03/05/2021 09",26
"613","03/05/2021 10",27
"614","03/05/2021 11",20
"615","03/05/2021 12",15
"616","03/05/2021 13",14
"617","03/05/2021 14",12
"618","03/05/2021 15",14
"619","03/05/2021 16",15
"620","03/05/2021 17",11
"621","03/05/2021 18",10
"622","03/05/2021 19",13
"623","03/05/2021 20",21
"624","03/05/2021 21",25
